idPNMain,PNG,Name,RAJ2000,DECJ2000,MajDiam,mainClass,subClass
8,000.0+02.0,"K 6-4",17:37:42.9,-27:49:09.55,6.9,S,
9,000.1-01.9,"JaSt 93",17:53:23.9,-29:49:47.68,14.0,E,s;
10,000.1-08.0,"SB 1",18:18:48.5,-32:47:55.32,29.4,B,a;
11,000.1-01.1,"M 3-43",17:50:24.3,-29:25:18.70,3.5,E,a;
12,000.1+02.6,"Al 2-J",17:35:35.4,-27:24:04.97,11.4,E,
13,000.1-05.6,"H 2-40",18:08:30.7,-31:36:35.64,18.3,E,a;r;s;
14,000.1+17.2,"PC 12",16:43:53.8,-18:57:11.88,2.3,B,m;p;r;
15,000.0-01.0,"JaSt 69",17:50:10.0,-29:19:05.38,14.0,E,m;s;
16,000.1+04.3,"H 1-16",17:29:23.4,-26:26:04.38,5.0,E,r;
17,000.1-02.3,"Bl 3-10",17:55:20.5,-29:57:36.14,7.2,S,
19,000.2-01.9,"M 2-19",17:53:45.6,-29:43:46.34,9.4,B,
20,000.2-04.6,"Wray 16-363",18:04:44.1,-31:02:48.16,6.4,E,m;
21,000.2+01.7,"JaSt 19",17:39:39.29,-27:47:21.9,7.2,S,
22,000.3-04.6,"M 2-28",18:05:02.7,-30:58:17.40,9.0,S,
23,000.3+12.2,"IC 4634",17:01:33.6,-21:49:32.77,20.5,B,m;p;s;
24,000.3+06.9,"Terz N 41",17:20:22.0,-24:51:52.24,15.2,E,r;s;
25,000.3-02.8,"M 3-47",17:57:43.4,-30:02:29.90,9.0,R,
26,000.4-01.9,"M 2-20",17:54:25.4,-29:36:08.78,4.1,E,m;
27,000.4-02.9,"M 3-19",17:58:19.3,-30:00:39.31,7.2,R,
28,000.4+01.1,"JaSt 36",17:42:25.1,-27:55:35.94,5.0,S,
30,000.5-03.1,"KFL 1",17:59:15.6,-30:02:47.15,8.0,R,
31,000.5-01.6,"Al 2-Q",17:53:25.0,-29:17:08.74,9.2,R,
34,000.6-01.0,"JaSt 77",17:51:11.5,-28:56:26.16,10.0,S,
35,000.6-01.3,"Bl 3-15",17:52:36.05,-29:06:39.6,6.0,B,p;
37,000.7-02.7,"M 2-21",17:58:09.6,-29:44:20.08,2.8,R,
38,000.7-03.7,"M 3-22",18:02:19.2,-30:14:25.37,6.0,S,
39,000.7+04.7,"H 2-11",17:29:25.9,-25:49:06.64,2.0,E,
40,000.7+03.2,"M 4-5",17:34:54.7,-26:35:56.90,6.7,B,m;p;
41,000.7-00.8,"JaSt 74",17:50:46.76,-28:44:35.2,5.0,R,
42,000.7-07.4,"M 2-35",18:17:37.2,-31:56:46.86,5.0,S,
43,000.8+01.3,"JaSt 38",17:42:32.4,-27:33:15.84,10.9,E,
44,000.0-01.2,"JaSt 71",17:50:23.2,-28:33:10.37,5.0,R,
46,000.8-07.6,"H 2-46",18:18:37.4,-31:54:45.43,4.0,S,
47,000.9+01.1,"JaSt 44",17:43:23.36,-27:34:05.2,8.5,E,a;
48,000.9-04.8,"M 3-23",18:07:06.1,-30:34:16.97,13.6,R,
50,000.9-02.0,"Bl 3-13",17:56:02.8,-29:11:16.22,4.2,E,a;
